BTNum	Lemma	POS	Forms
1	A	Prefix	A
10	aar	Noun	aar
100	a-bregdan	Verb	a-bregdan
1000	+at-slidan	Verb	+at-slidan
10000	f+ar-wundor	Noun	f+ar-wundor
10001	f+ar-wyrd	Noun	f+ar-wyrd
10002	f+aryld	Noun	f+aryld
10003	f+as	Noun	f+as;f+asce
10004	F+ASL	Noun	F+ASL
10005	F+AST	Adjective	F+AST
10006	-f+ast	Suffix	-f+ast
10007	f+astan	Verb	f+astan
10008	f+aste	Adverb	f+aste
10009	f+asten	Noun	f+asten;f+astern
1001	+at-somne	Adverb	+at-somne
10010	f+asten-beh+afednes	Noun	f+asten-beh+afednes
10011	f+asten-brice	Noun	f+asten-brice
10012	f+asten-d+ag	Noun	f+asten-d+ag
10013	f+asten-dic	Noun	f+asten-dic
10014	f+asten-geat	Noun	f+asten-geat
10015	f+asten-gewerc	Noun	f+asten-gewerc
10016	f+astennes	Noun	f+astennes
10017	f+asten-tid	Noun	f+asten-tid
10018	f+aster-modor	Noun	f+aster-modor
10019	f+astes	Adverb	f+astes
1002	+at-speornan	Verb	+at-speornan
10020	f+ast-gongel	Adjective	f+ast-gongel
10021	f+ast-hafol	Adjective	f+ast-hafol
10022	f+ast-hafolnes	Noun	f+ast-hafolnes
10023	f+ast-hydig	Adjective	f+ast-hydig
10024	f+asting	Noun	f+asting;f+asting-men
10025	f+astingan	Verb	f+astingan
10026	f+asting-men	Noun	f+asting-men
10027	f+astlic	Adjective	f+astlic
10028	f+astlice	Adverb	f+astlice
10029	f+ast-mod	Adjective	f+ast-mod
1003	+at-springan	Verb	+at-springan
10030	f+astmod-sta+dol	Noun	f+astmod-sta+dol
10031	f+astn	Noun	f+astn
10032	f+astn	Noun	f+astn
10033	f+ast-nes	Noun	f+ast-nes
10034	f+astnian	Verb	f+astnian
10035	f+astnung	Noun	f+astnung
10036	f+ast-r+ad	Adjective	f+ast-r+ad
10037	f+ast-r+adlice	Adverb	f+ast-r+adlice
10038	f+ast-r+adnes	Noun	f+ast-r+adnes
10039	f+ast-steall	Adjective	f+ast-steall
1004	+at-springnes	Noun	+at-springnes
10040	F+AT	Noun	F+AT;fatu
10041	f+at	Noun	f+at
10042	f+at	Adjective	f+at
10043	f+at	Noun	f+at
10044	f+ated	Verb	f+ated
10045	f+ated-hleor	Noun	f+ated-hleor
10046	f+ated-sinc	Noun	f+ated-sinc
10047	f+atels	Noun	f+atels
10048	f+atelsian	Verb	f+atelsian
10049	f+atere	Adjective	f+atere
1005	+at-spurne	Verb	+at-spurne
10050	f+at-fellere	Noun	f+at-fellere
10051	f+at-gold	Noun	f+at-gold
10052	f+a+dem	Noun	f+a+dem
10053	f+at-hengest	Noun	f+at-hengest
10054	f+a+der	Noun	f+a+der
10055	f+a+der-homa	Noun	f+a+der-homa
10056	F+A+DM	Noun	F+A+DM
10057	f+a+dmian	Verb	f+a+dmian
10058	f+a+dm-lic	Adjective	f+a+dm-lic
10059	f+a+dm-rim	Noun	f+a+dm-rim
1006	+at-spyrning	Noun	+at-spyrning
10060	f+atian	Verb	f+atian
10061	f+atnes	Noun	f+atnes
10062	F+ATT	Adjective	F+ATT;f+at
10063	f+att	Verb	f+att
10064	f+attian	Verb	f+attian
10065	f+ax	Noun	f+ax
10066	f+ax	Noun	f+ax
10067	FAG	Adjective	FAG;fah;faag
10068	fag	Adjective	fag
10069	fagc	Noun	fagc
10070	fagen	Adjective	fagen
10071	fagenian	Verb	fagenian
10072	fagettan	Verb	fagettan
10073	fagetung	Noun	fagetung
10074	fagian	Verb	fagian
10075	fagnian	Verb	fagnian
10076	fagnys	Noun	fagnys
10077	fagung	Noun	fagung
10078	fah	Adjective	fah;ge-fah;fag
10079	FAH	Adjective	FAH
1008	+at-standan	Verb	+at-standan
10080	fah-man	Noun	fah-man
10081	fahnian	Verb	fahnian
10082	fahnys	Noun	fahnys
10083	faht	Verb	faht
10084	fa-l+acan	Verb	fa-l+acan
10085	fald	Noun	fald;falod
10086	fald-gang	Noun	fald-gang
10087	fald-gang-penig	Noun	fald-gang-penig
10088	fald-wur+t	Adjective	fald-wur+t
10089	falewe	Noun	falewe
1009	+at-stapan	Verb	+at-stapan
10090	falewende	Adjective	falewende
10091	fallende	Verb	fallende
10092	FALS	Noun	FALS
10093	Falster	Noun	Falster
10094	FAM	Noun	FAM
10095	fam-blawende	Verb	fam-blawende
10096	famgian	Verb	famgian
10097	famig	Adjective	famig
10098	famig-bord	Noun	famig-bord
10099	famig-bosm	Noun	famig-bosm
101	a-bremende	Adjective	a-bremende
1010	+at-steal	Noun	+at-steal
10100	famig-heals	Adjective	famig-heals
10102	fan	Noun	fan
10103	FANA	Noun	FANA;fanu;fona
10104	fand	Verb	fand
10105	fandere	Noun	fandere
10106	fandian	Verb	fandian
10107	fandlic	Adjective	fandlic
10108	fandung	Noun	fandung
10109	fang	Noun	fang
10110	fangen	Verb	fangen
10111	fangen-nes	Noun	fangen-nes
10112	FANN	Noun	FANN
10113	fant	Noun	fant
10114	fant-f+at	Noun	fant-f+at
10115	fant-w+ater	Noun	fant-w+ater
10116	fara	Noun	fara
10117	fara	Noun	fara
10118	FARAN	Verb	FARAN
10119	fara+t-lacende	Verb	fara+t-lacende
1012	+at-stillan	Verb	+at-stillan
10120	fare	Noun	fare
10121	fareld	Noun	fareld
10122	fare+t-lacende	Verb	fare+t-lacende
10123	Fariseisc	Adjective	Fariseisc
10124	Farnea ealond	Noun	Farnea ealond
10125	faro+t	Noun	faro+t;brim-faro+t
10126	faro+t-hengest	Noun	faro+t-hengest
10127	faro+t-lacende	Verb	faro+t-lacende
10128	faro+t-ridende	Verb	faro+t-ridende
10129	faro+t-str+at	Noun	faro+t-str+at
1013	+at-swerian	Verb	+at-swerian
10130	FARU	Noun	FARU
10131	fas	Noun	fas
10132	fast	Adjective	fast
10133	fastitocalon	Noun	fastitocalon
10134	fatan	Verb	fatan
10135	fa+du	Noun	fa+du
10136	fatu	Noun	fatu
10138	fea	Noun	fea
10139	fea	Noun	fea
1014	+at-swymman	Verb	+at-swymman
10140	fea	Adjective	fea
10141	fea	Adverb	fea
10142	feagan	Verb	feagan
10143	feaht	Verb	feaht
10144	feala	Adjective	feala
10145	feala-for	Noun	feala-for;feolu-for
10146	feala-hiw	Noun	feala-hiw
10147	feald	Noun	feald
10148	feald	Noun	feald
10149	-feald	Suffix	-feald
10150	FEALDAN	Verb	FEALDAN
10151	feale	Noun	feale
10152	fealewe	Adjective	fealewe
10153	fealewian	Verb	fealewian
10154	fealga	Noun	fealga;f+alging
10155	FEALH	Noun	FEALH
10156	fealh	Verb	fealh
10157	feall	Noun	feall
10158	FEALLAN	Verb	FEALLAN
10159	FEALO	Adjective	FEALO
1016	+atter	Noun	+atter
10160	fealo	Adjective, Numeral	fealo
10161	fea-log	Adjective	fea-log
10162	fealo-hilte	Adjective	fealo-hilte
10163	feal+t	Verb	feal+t
10164	fealu	Noun	fealu
10165	fealu	Noun	fealu
10166	fealuwian	Verb	fealuwian
10167	fealvor	Noun	fealvor
